,subsr,asset_nm_new,ATCR_SCORE,rank
21,64659000,과학수사대스모킹건,0.1,44.0
94,64659000,이슈픽쌤과함께,0.05,59.0
106,64659000,과학수사대스모킹건,0.1,44.0
132,64659000,NFS국과수,0.0,63.0
152,64659000,NFS국과수,0.0,63.0
188,64659000,2023역사저널그날,0.08,53.0
216,64659000,NFS국과수,0.0,63.0
218,64659000,NFS국과수,0.0,63.0
755,64659000,동상이몽2-너는내운명,0.0,63.0
1220,64659000,국민사형투표,0.0,63.0
1294,64659000,소방서옆경찰서,0.18,32.0
1295,64659000,소방서옆경찰서,0.18,32.0
1318,64659000,소방서옆경찰서,0.18,32.0
1321,64659000,소방서옆경찰서,0.18,32.0
1350,64659000,소방서옆경찰서,0.18,32.0
1364,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
1443,64659000,소방서옆경찰서,0.18,32.0
1444,64659000,소방서옆경찰서,0.18,32.0
1502,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
1540,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
1684,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
1736,64659000,소방서옆경찰서,0.18,32.0
1798,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
1894,64659000,소방서옆경찰서,0.18,32.0
2017,64659000,소방서옆경찰서,0.18,32.0
2026,64659000,소방서옆경찰서,0.18,32.0
2097,64659000,소방서옆경찰서,0.18,32.0
3421,64659000,욕망의그늘,0.0,63.0
3551,64659000,연애담,0.0,63.0
3619,64659000,인간중독,0.0,63.0
3665,64659000,감각의제국감독판,0.0,63.0
3702,64659000,극장판명탐정코난:할로윈의신부,0.0,63.0
4383,64659000,과학수사대스모킹건,0.1,44.0
4398,64659000,과학수사대스모킹건,0.1,44.0
4399,64659000,2023역사저널그날,0.08,53.0
4417,64659000,2023역사저널그날,0.08,53.0
4436,64659000,2023역사저널그날,0.08,53.0
4437,64659000,다큐플렉스,0.0,63.0
4438,64659000,이슈픽쌤과함께,0.05,59.0
4439,64659000,이슈픽쌤과함께,0.05,59.0
4444,64659000,광복절독립운동의비밀병기암호,0.0,63.0
4447,64659000,과학수사대스모킹건,0.1,44.0
4466,64659000,과학수사대스모킹건,0.1,44.0
4482,64659000,다큐플렉스,0.0,63.0
4491,64659000,과학수사대스모킹건,0.1,44.0
4499,64659000,이슈픽쌤과함께,0.05,59.0
4509,64659000,2023역사저널그날,0.08,53.0
4518,64659000,과학수사대스모킹건,0.1,44.0
4521,64659000,그것이알고싶다,0.0,63.0
4523,64659000,그것이알고싶다,0.0,63.0
4536,64659000,과학수사대스모킹건,0.1,44.0
4573,64659000,2023역사저널그날,0.08,53.0
4625,64659000,트롯전국체전,0.48,1.0
4629,64659000,트롯전국체전,0.48,1.0
4692,64659000,트롯전국체전,0.48,1.0
4739,64659000,트롯전국체전,0.48,1.0
4770,64659000,트롯전국체전,0.48,1.0
4772,64659000,트롯전국체전,0.48,1.0
4853,64659000,트롯전국체전,0.48,1.0
4919,64659000,트롯전국체전,0.48,1.0
4920,64659000,트롯전국체전,0.48,1.0
5007,64659000,트롯전국체전,0.48,1.0
5029,64659000,과몰입인생사,0.0,63.0
5030,64659000,트롯전국체전,0.48,1.0
5033,64659000,과몰입인생사,0.0,63.0
5063,64659000,트롯전국체전,0.48,1.0
5080,64659000,트롯전국체전,0.48,1.0
5081,64659000,트롯전국체전,0.48,1.0
5217,64659000,트롯전국체전,0.48,1.0
5256,64659000,트롯전국체전,0.48,1.0
5337,64659000,트롯전국체전,0.48,1.0
5338,64659000,트롯전국체전,0.48,1.0
5490,64659000,트롯전국체전,0.48,1.0
5492,64659000,트롯전국체전,0.48,1.0
5493,64659000,트롯전국체전,0.48,1.0
5543,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
5584,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
5753,64659000,국민사형투표,0.0,63.0
5781,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
5908,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
5950,64659000,국민사형투표,0.0,63.0
6255,64659000,소방서옆경찰서그리고국과수,0.33000000000000007,22.0
6544,64659000,응답하라1988,0.0,63.0
7333,64659000,이하이-머리어깨무릎발(Feat원슈타인),0.0,63.0
7335,64659000,건축탐구-집,0.0,63.0
7338,64659000,극한직업,0.0,63.0
7340,64659000,극한직업,0.0,63.0
7653,64659000,욕망의손길,0.0,63.0
7794,64659000,범죄도시3,0.0,63.0
7847,64659000,공조2:인터내셔날,0.0,63.0
7848,64659000,공조2:인터내셔날,0.0,63.0
