,subsr,SMRY
21,64659000,"[가면 쓴 살인마의 최후 - 독신녀 토막 살인 사건] 2003년 3월 16일, 배수로 공사 중 굴삭기 끝에 뭔가 탁하고 걸린다. 김장 봉투에 싸인 채 발견된 건 여성의 토막 난 시신! 대체 이 여성은 어떤 이유로 이런 끔찍한 죽음을 맞이한 것일까?"
22,61683000,[우당탕탕 네쌍둥이 육아전쟁 2부] 아랫집 누수로 인한 공사로 인해 네 아이를 데리고 임시 거처로 옮긴 부부. 힘든 상황에서도 환상의 호흡으로 육아를 척척해낸다. 장 수술 후 회복 기간이 필요해서 아직 병원에 있는 문별이를 영상으로 만나며 뜨거운 응원도 보낸다.
23,61683000,[아기가 되어 온 울 엄마 1부] 전두 측두엽 치매에 걸린 어머니 옥순 씨. 아버지 창원 씨 혼자 돌보시는 것이 버거워지고 딸 지혜 씨 부부와 함께 살기 시작한다. 혼자 덩그러니 남겨진 창원 씨. 아내와 함께 지내던 공간에 혼자 남으니 아내 생각이 더 많이 든다.
24,64154000,"[신년기획 세계사를 바꾼 승부 5편] 나폴레옹 최후의 승부, 워털루 전투. 프랑스 혁명정신을 상징하는 나폴레옹의 워털루 패배는 공화국에서 다시 왕정국가로 회귀하는 역사적 흐름을 낳았다. 세계사에 큰 영향을 미친 나폴레옹의 마지막 전투는 어떻게 전개되었을까?"
25,60984000,"두 소녀의 마지막 약속 - 대구 여중생 실종 사건. 친구들의 기억과 증언을 바탕으로 기민이와 경미의 당일 행적을 재구성해 보는 한편, 전문가 프로파일링과 새로운 몽타주 탐문을 더해 실종된 두 사람의 현재 행방을 추적한다."
26,65941000,[엄마는 보물상 4부] 함께 고물상을 꾸려나가는 은영 씨와 정보 씨 부부. 아빠 생신이라고 큰딸이 미역국을 끓이는데 조미료 폭탄인 미역국을 정보 씨는 맛있게 먹어준다. 모처럼 시댁에 들른 은영 씨. 시어머니처럼 좋은 엄마가 되자 다짐해 보는데...
27,65941000,"[내 딸 윤아 1부] 독학으로 중국어와 아랍어를 익힌 윤아 씨는 중증 지적장애인이다. 한때는 의사소통과 일상생활조차 불가능했었지만, 회사까지 그만두고 딸에게 집중했던 아빠 유원 씨 덕분에 다양한 훈련과 경험을 하고 있다."
28,61683000,[아기가 되어 온 울 엄마 2부] 지혜 씨가 엄마 옥순 씨와 유부초밥을 만들며 옛 추억 이야기를 꺼내본다. 정성스럽게 만든 반찬들을 가득 담아 창옥 씨가 있는 집으로 향하는 지혜 씨와 옥순 씨. 옥순 씨는 오늘 하루 남편 창옥 씨와 함께 보내기로 하는데...
29,62701000,"[피아니스트의 은밀한 의뢰 - 용인 휴게소 청부 살인사건] 2014년 1월 4일, 용인휴게소에서 살려주세요 소리치며 승용차 문을 열고 나오려는 한 남성이 목격된다. 괴한들이 그 남성을 다시 강제로 차에 가둔 뒤 휴게소를 빠져나갔지만..."
30,62701000,"[피아니스트의 은밀한 의뢰 - 용인 휴게소 청부 살인사건] 2014년 1월 4일, 용인휴게소에서 살려주세요 소리치며 승용차 문을 열고 나오려는 한 남성이 목격된다. 괴한들이 그 남성을 다시 강제로 차에 가둔 뒤 휴게소를 빠져나갔지만..."
31,64495000,53일간의 살인. 우리.. 생각할 시간을 좀 가졌으면 좋겠어. 주위 모든 사람에게 부러움을 살 만큼 다정한 커플이었던 두 사람. 그러나 행복한 시간은 그렇게 오래가지 못했다. 한 씨의 광적인 집착이 시작된 것이다. 싸움이 잦아지자 정은 씨는 결국 헤어질 결심을 하게 된다.
32,64495000,53일간의 살인. 우리.. 생각할 시간을 좀 가졌으면 좋겠어. 주위 모든 사람에게 부러움을 살 만큼 다정한 커플이었던 두 사람. 그러나 행복한 시간은 그렇게 오래가지 못했다. 한 씨의 광적인 집착이 시작된 것이다. 싸움이 잦아지자 정은 씨는 결국 헤어질 결심을 하게 된다.
33,66873000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
34,64385000,"죽음의 동굴 - 돌아오지 못한 사람들. 코끝이 시린 어느 겨울날, 긴장한 표정의 경찰들이 여기저기 구덩이를 파기 시작한다. 곧이어 사방에서 들려오는 다급한 목소리... 여기도 있습니다! 여기도요! 땅속에서 찾아낸 것은 다름 아닌 시신! 그 모습은 잔혹 그 자체였다."
35,64495000,"죽음의 동굴 - 돌아오지 못한 사람들. 코끝이 시린 어느 겨울날, 긴장한 표정의 경찰들이 여기저기 구덩이를 파기 시작한다. 곧이어 사방에서 들려오는 다급한 목소리... 여기도 있습니다! 여기도요! 땅속에서 찾아낸 것은 다름 아닌 시신! 그 모습은 잔혹 그 자체였다."
36,64495000,"살인 12+2 - 악마의 고백. 2019년 7월, 국립 과학수사연구원에 전화가 한 통 걸려온다. 의뢰가 들어온 건 무려 30년 가까이 된 장기미제 사건의 증거품. 우리나라 DNA 감식의 일인자인 강필원 과장. 사건에 대해 듣는 순간 강 과장의 등골이 서늘해진다."
