,subsr,SMRY
62,65941000,"[한일부부, 우리는 쓰시마에 산다 3부] 어딜 가나 아이들의 교육이 문제인 건 만국 공통이다. 부부는 150년이 된 가옥에 지내면서 가족의 흔적을 남기고 있다. 더불어 집 앞에 1일 냉장고인 작은 텃밭도 키우고 있다."
63,61683000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
64,65954000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
65,62421000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
66,60593000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
67,60593000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
68,62421000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
69,62421000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
70,62421000,"미씽 : 사라진 소녀와 꽃신 - 1975년 5월 충청북도 청주, 태순 씨네 삼 남매 중 맏딸 경하는 똘똘하고 야무진 여섯 살이다. 애지중지하는 꽃신을 신고 경하가 집 앞에서 친구들과 노는 사이, 잠시 장을 보고 온 엄마, 그런데 딸 경하가 보이지 않는다."
71,66309000,"총성과 함성 - 사라진 금메달리스트. 때는 1932년 4월, 일본 도쿄의 한 여관 앞. 일장기를 든 수많은 일본인 사이 여덟 명의 조선 청년들이 서 있다. 그중 한 청년이 기다란 무언가를 꺼내드는 순간, 탕! 총소리가 울려 퍼진다. 청년은 필사적으로 내달리기 시작하는데..."
72,64495000,"총성과 함성 - 사라진 금메달리스트. 때는 1932년 4월, 일본 도쿄의 한 여관 앞. 일장기를 든 수많은 일본인 사이 여덟 명의 조선 청년들이 서 있다. 그중 한 청년이 기다란 무언가를 꺼내드는 순간, 탕! 총소리가 울려 퍼진다. 청년은 필사적으로 내달리기 시작하는데..."
73,64536000,"총성과 함성 - 사라진 금메달리스트. 때는 1932년 4월, 일본 도쿄의 한 여관 앞. 일장기를 든 수많은 일본인 사이 여덟 명의 조선 청년들이 서 있다. 그중 한 청년이 기다란 무언가를 꺼내드는 순간, 탕! 총소리가 울려 퍼진다. 청년은 필사적으로 내달리기 시작하는데..."
74,64040000,"총성과 함성 - 사라진 금메달리스트. 때는 1932년 4월, 일본 도쿄의 한 여관 앞. 일장기를 든 수많은 일본인 사이 여덟 명의 조선 청년들이 서 있다. 그중 한 청년이 기다란 무언가를 꺼내드는 순간, 탕! 총소리가 울려 퍼진다. 청년은 필사적으로 내달리기 시작하는데..."
75,66309000,"총성과 함성 - 사라진 금메달리스트. 때는 1932년 4월, 일본 도쿄의 한 여관 앞. 일장기를 든 수많은 일본인 사이 여덟 명의 조선 청년들이 서 있다. 그중 한 청년이 기다란 무언가를 꺼내드는 순간, 탕! 총소리가 울려 퍼진다. 청년은 필사적으로 내달리기 시작하는데..."
76,65941000,[엄마는 보물상 5부] 모처럼 데이트를 나선 두 자매. 쇼핑도 하고 카페도 가고 둘만의 시간을 보내는데. 일 잘하는 정보 씨를 보고 엄지를 치켜올리는 아내. 그 덕에 남편의 어깨가 올라간다. 바다 여행길에 오른 네 식구. 그동안 잊고 있었던 가족과의 소중한 시간을 보낸다.
77,64536000,"응답하라 733 - 1993년 목포 여객기 추락 사고. 1993년 7월, 목포에 있는 할머니 댁에 놀러 갈 생각에 잔뜩 들뜬 신나라, 신준영 남매. 비행기 여행이 쉽지 않았던 시절, 어린 남매는 한껏 들떠 아시아나 733편에 올랐다. 하지만 그때만 해도 몰랐다. 어떤 비극이 찾아올지..."
